Kapitelnummer,Position im Kapitel,work id,Datum (Korrekturhilfe),Dateipfad (Korrekturhilfe)
,63,work00270,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/063_ZusatzCoda.xml
,64,work00272,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/064_ZusatzEuropasWehr.xml
,65,work00273,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/065_ZusatzPhilemonundBaucis.xml
,66,work00971,2013 / 26.6.2014,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/066_StrahlendeVerfolger.xml
,67,work00125,2015,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/067_DasschweigendeMädchen.xml
,68,work00876,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/068_Zusatzo.T.xml
,69,work01117,2016,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/069_Wut.xml
,70,work00460,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/070_ZusatzIchjaechtIch.xml
,71,work01027,3.11.2016,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/071_Unseres.xml
,72,work00114,2017,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/072_DasLichtimKastenStraßeStadtNichtmitmir.xml
,73,work00148,2017,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/073_DerEinzigeseinEigentumHellodarknessmyoldfriend.xml
,74,work00024,2017,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/074_AmKönigsweg.xml
,75,work01028,26.12.2017,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/075_UNSERES20.xml
,76,work00931,2018,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/076_SCHNEEWEISS.xml
,77,work00935,2020,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/077_Schwarzwasser.xml
,78,work01148,8/9/2021,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/078_LÄRMBLINDESSEHENBLINDESEHEN.xml
1.5,,,,  
,10,work01096,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/001_WienWest.xml
,20,work01080,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/002_wenndiesonnesinktist.xml
,30,work01035,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/007_UntergangeinesTauche.xml
,40,work00404,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/008_FürdenFunkdramatisie.xml
,50,work00519,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/009_KasperlunddiedickePr.xml
,60,work00217,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/010_DieBienenkönige.xml
,70,work00509,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/011_Jelka.xml
,80,work00888,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/012_Porträteinerverfilmt.xml
,90,work00240,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/013_DieJubilarin.xml
,100,work01072,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/014_WasgeschahnachdemNor.xml
,110,work00212,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/015_DieAusgesperrten.xml
,120,work00394,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/017_FrauenliebeMännerleb.xml
,130,work00368,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/019_ErziehungeinesVampir.xml
,140,work00890,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/020_PräsidentAbendwind.xml
,150,work00469,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/021_IkaruseinhöheresWese.xml
,160,work00613,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/022_Moosbruggerwillnicht.xml
,170,work00958,,/korrigiert/bd1/001_Werke/005_TextefürHörspiele/023_Sportchor.xml
1.6,,,,
,10,work00898,,/korrigiert/bd1/001_Werke/006_DrehbücherundTextefürFilme/001_RamsauamDachstein.xml
,20,work00310,,/korrigiert/bd1/001_Werke/006_DrehbücherundTextefürFilme/002_EinePartieDame.xml
,30,work00213,,/korrigiert/bd1/001_Werke/006_DrehbücherundTextefürFilme/003_DieAusgesperrten.xml
